round_epochs,val_loss,val_acc,loss,acc,batch_size,dropout,epochs,first_layer,last_activation,losses,lr,optimizer
10,0.6336888636965475,0.6266530752182007,0.6571101403194762,0.5936272,108,0.2,10,200,sigmoid,binary_crossentropy,4.06,<class 'keras.optimizers.Nadam'>
10,0.6299898767519821,0.6419125199317932,0.6536754742557438,0.59755564,108,0.2,10,200,sigmoid,binary_crossentropy,6.039999999999999,<class 'keras.optimizers.Adam'>
10,0.6356817164959524,0.6266530752182007,0.6530508815539763,0.5936272,108,0.2,10,200,sigmoid,binary_crossentropy,6.039999999999999,<class 'keras.optimizers.Nadam'>
10,0.6279764435541109,0.629705011844635,0.6574245008096483,0.5958097,108,0.2,10,200,sigmoid,binary_crossentropy,8.02,<class 'keras.optimizers.Adam'>
10,0.6478199357297632,0.629705011844635,0.6586028694430068,0.58795285,108,0.2,10,200,sigmoid,binary_crossentropy,8.02,<class 'keras.optimizers.Nadam'>
10,0.6336920591239891,0.6307222843170166,0.6599022458859897,0.59711915,108,0.35,10,100,sigmoid,binary_crossentropy,0.1,<class 'keras.optimizers.Adam'>
10,0.6307570274581987,0.6347914338111877,0.6618103893341221,0.5958097,108,0.35,10,100,sigmoid,binary_crossentropy,0.1,<class 'keras.optimizers.Nadam'>
10,0.6328415905835063,0.6236011981964111,0.6575102659616341,0.5940637,108,0.35,10,100,sigmoid,binary_crossentropy,2.08,<class 'keras.optimizers.Adam'>
10,0.6326070166555814,0.621566653251648,0.6561337263237592,0.5918813,108,0.35,10,100,sigmoid,binary_crossentropy,2.08,<class 'keras.optimizers.Nadam'>
10,0.6328500338876478,0.627670407295227,0.6530349469767653,0.60672194,108,0.35,10,100,sigmoid,binary_crossentropy,4.06,<class 'keras.optimizers.Adam'>
10,0.6501473652867795,0.6266530752182007,0.6569743803212446,0.58838934,108,0.35,10,100,sigmoid,binary_crossentropy,4.06,<class 'keras.optimizers.Nadam'>
10,0.6343497373807951,0.6225839257240295,0.6546277588030908,0.60148406,108,0.35,10,100,sigmoid,binary_crossentropy,6.039999999999999,<class 'keras.optimizers.Adam'>
10,0.6432082840409187,0.6266530752182007,0.6588104575130941,0.5931907,108,0.35,10,100,sigmoid,binary_crossentropy,6.039999999999999,<class 'keras.optimizers.Nadam'>
10,0.6326459101112304,0.6327568888664246,0.6538680043869901,0.5949367,108,0.35,10,100,sigmoid,binary_crossentropy,8.02,<class 'keras.optimizers.Adam'>
